id,name,thread,height,sum
1,main 6152,6152,0.0,1
18,GC task thread#0 (ParallelGC) 6154,6154,0.0473,1.0
32,GC task thread#1 (ParallelGC) 6155,6155,0.3187,0.9527
43,VM Thread 6161,6161,0.3188,0.634
63,Reference Handler 6162,6162,0.0,0.3152
65,Finalizer 6164,6164,0.0,0.3152
68,C2 CompilerThread0 6168,6168,0.0623,0.3152
231,C1 CompilerThread1 6169,6169,0.0623,0.2529
315,VM Periodic Task Thread 6171,6171,0.0069,0.1906
321,Thread 6212,6212,0.0623,0.1837
362,Thread 6213,6213,0.1214,0.1214
