id,name,thread,height,sum
1,main 16971,16971,0.134,1
2,VM Thread 16974,16974,0.1955,0.866
3,Reference Handler 16976,16976,0.0669,0.6705
4,Finalizer 16978,16978,0.0669,0.6036
5,C2 CompilerThread0 16981,16981,0.1193,0.5367
6,C1 CompilerThread1 16983,16983,0.126,0.4174
7,VM Periodic Task Thread 16986,16986,0.2487,0.2914
8,Thread 17054,17054,0.0426,0.0427
