id,name,thread,height,sum
1,main 8440,8440,0.0,1
18,GC task thread#0 (ParallelGC) 8442,8442,0.0511,1.0
28,GC task thread#1 (ParallelGC) 8443,8443,0.3588,0.9489
39,VM Thread 8449,8449,0.0572,0.5901
61,Reference Handler 8450,8450,0.0,0.5329
63,Finalizer 8451,8451,0.0,0.5329
66,C2 CompilerThread0 8456,8456,0.2979,0.5329
235,C1 CompilerThread1 8457,8457,0.0575,0.235
316,VM Periodic Task Thread 8461,8461,0.0064,0.1775
322,Thread 8500,8500,0.0574,0.1711
367,Thread 8501,8501,0.1137,0.1137
